analysis             sr                        o         b         db              s                  ds               s95obs         s95exp         robscons          rexpcons           
cms_1303_2985        23j_2b_675                1.0       0.5       0.2             0.0                16.5463162718    4.0228551955   3.2204927571   0                 0                  
cms_1303_2985        23j_2b_775                0.0       0.1       0.1             0.0                16.5463162718    3.4094143717   3.029603103    0                 0                  
cms_1303_2985        23j_2b_875                0.0       0.1       0.1             0.0                16.5463162718    3.4094143717   3.029603103    0                 0                  
cms_1303_2985        4j_0b_275                 1009.0    1010.0    29.4278779391   0.0                16.5463162718    86.7364073547  87.6705898919  0                 0                  
cms_1303_2985        4j_0b_325                 452.0     447.0     17.5641680703   0.0                16.5463162718    58.7120101422  55.708951388   0                 0                  
cms_1303_2985        4j_0b_375                 375.0     390.0     17.1172427686   0.0                16.5463162718    41.7954312811  52.8744690245  0                 0                  
cms_1303_2985        4j_0b_475                 274.0     250.0     11.5108644332   0.0                16.5463162718    59.2130557658  39.8707569058  0                 0                  
cms_1303_2985        4j_0b_575                 113.0     111.0     8.0622577483    0.0                16.5463162718    28.5188373799  27.033301416   0                 0                  
cms_1303_2985        4j_0b_675                 56.0      53.3      4.3             0.0                16.5463162718    19.7069338214  17.9274506516  0                 0                  
cms_1303_2985        4j_0b_775                 16.0      18.5      2.4             0.0                16.5463162718    8.5949685077   10.5480195864  0                 0                  
cms_1303_2985        4j_0b_875                 27.0      19.4      2.60192236625   0.0                16.5463162718    18.3853331638  11.5855274013  0                 0                  
cms_1303_2985        4j_1b_275                 515.0     521.0     21.3775583264   0.0                16.5463162718    56.5895822536  63.4335163754  0                 0                  
cms_1303_2985        4j_1b_325                 236.0     232.0     13.5830777072   0.0                16.5463162718    43.9891409007  41.5261075904  0                 0                  
cms_1303_2985        4j_1b_375                 204.0     188.0     11.5108644332   0.0                16.5463162718    48.3834761398  37.0846628767  0                 0                  
cms_1303_2985        4j_1b_475                 92.0      106.0     6.0             0.0                16.5463162718    16.4274176737  24.6426212425  0                 0                  
cms_1303_2985        4j_1b_575                 51.0      42.1      4.25264623499   0.0                16.5463162718    23.8059820798  16.7055429476  0                 0                  
cms_1303_2985        4j_1b_675                 13.0      17.9      2.10237960416   0.0                16.5463162718    7.5283854065   10.5506803381  0                 0                  
cms_1303_2985        4j_1b_775                 13.0      9.8       1.45086181285   0.0                16.5463162718    11.2884827197  7.7582753894   0                 0                  
cms_1303_2985        4j_1b_875                 6.0       6.8       1.15108644332   0.0                16.5463162718    6.2746993277   6.7699617341   0                 0                  
cms_1303_2985        4j_2b_275                 204.0     208.0     13.6014705087   0.0                16.5463162718    36.2156231416  39.8649863153  0                 0                  
cms_1303_2985        4j_2b_325                 107.0     103.0     8.0622577483    0.0                16.5463162718    29.9101679863  26.9101285716  0                 0                  
cms_1303_2985        4j_2b_375                 84.0      85.9      7.05159556413   0.0                16.5463162718    22.7991380623  23.9972008718  0                 0                  
cms_1303_2985        4j_2b_475                 59.0      51.7      4.65026880943   0.0                16.5463162718    24.4532514328  18.3906042664  0                 0                  
cms_1303_2985        4j_2b_575                 24.0      19.9      3.20624390838   0.0                16.5463162718    15.2320300021  12.5001980419  0                 0                  
cms_1303_2985        4j_2b_675                 5.0       6.8       1.25099960032   0.0                16.5463162718    5.514952609    6.844480146    0                 0                  
cms_1303_2985        4j_2b_775                 1.0       1.7       0.57008771255   0.0                16.5463162718    3.6017819741   4.1187834054   0                 0                  
